time,deltaTime,deltaPress,dv
1137.633000,417.600000,23.455320,5.842046
1140.033000,420.000000,23.501220,5.869901
1142.433000,422.400000,23.547120,5.897082
1144.833000,424.800000,23.593010,5.924874
1147.233000,427.200000,23.638910,5.953284
1149.633000,429.600000,23.684810,5.965384
1152.033000,432.000000,23.730470,5.992363
1154.433000,434.400000,23.776360,6.019966
1156.833000,436.800000,23.822020,6.048201
1159.233000,439.200000,23.867920,6.091676
1161.633000,441.600000,23.913820,6.102604
1164.033000,444.000000,23.959470,6.130095
1166.433000,446.400000,24.005370,6.157558
1168.833000,448.800000,24.051020,6.184994
1171.233000,451.200000,24.096920,6.213081
1173.633000,453.600000,24.142580,6.223427
1176.033000,456.000000,24.188230,6.267141
1178.433000,458.400000,24.234130,6.294471
1180.833000,460.800000,24.279780,6.321774
1183.233000,463.200000,24.325680,6.349746
1185.633000,465.600000,24.371340,6.376305
1188.033000,468.000000,24.417230,6.420319
1190.433000,470.400000,24.463130,6.431436
1192.833000,472.800000,24.508790,6.457911
1195.233000,475.200000,24.554680,6.485064
1197.633000,477.600000,24.600340,6.512903
1200.033000,480.000000,24.646240,6.557153
1202.433000,482.400000,24.692140,6.566376
1204.833000,484.800000,24.737790,6.593432
1207.233000,487.200000,24.783690,6.638543
1209.633000,489.600000,24.829590,6.665625
1212.033000,492.000000,24.875490,6.691956
1214.433000,494.400000,24.921380,6.718989
1216.833000,496.800000,24.967280,6.746735
1219.233000,499.200000,25.013180,6.791435
1221.633000,501.600000,25.059320,6.800694
1224.033000,504.000000,25.104980,6.827640
1226.433000,506.400000,25.151120,6.872484
1228.833000,508.800000,25.197020,6.862725
1231.233000,511.200000,25.242670,6.908345
1233.633000,513.600000,25.288820,6.953335
1236.033000,516.000000,25.334710,6.961282
1238.433000,518.400000,25.380610,7.007128
1240.833000,520.800000,25.426750,7.053099
1243.233000,523.200000,25.472900,7.042425
1245.633000,525.600000,25.518550,7.049927
1248.033000,528.000000,25.564450,7.114462
1250.433000,530.400000,25.610590,7.141244
1252.833000,532.800000,25.656490,7.168006
1255.233000,535.200000,25.702630,7.214290
1257.633000,537.600000,25.748780,7.241084
1260.033000,540.000000,25.794920,7.267071
1262.433000,542.400000,25.841060,7.293823
1264.833000,544.800000,25.887200,7.321348
1267.233000,547.200000,25.933350,7.348064
1269.633000,549.600000,25.979490,7.354783
1272.033000,552.000000,26.025390,7.400636
1274.433000,554.400000,26.071770,7.466730
1276.833000,556.800000,26.118160,7.494316
1279.233000,559.200000,26.164550,7.520268
1281.633000,561.600000,26.210930,7.606396
1284.033000,564.000000,26.258050,7.634145
1286.433000,566.400000,26.304440,7.601255
1288.833000,568.800000,26.350830,7.607390
1291.233000,571.200000,26.396970,7.633989
1293.633000,573.600000,26.443360,7.680440
1296.033000,576.000000,26.489740,7.727011
1298.433000,578.400000,26.536370,7.775370
1300.833000,580.800000,26.583010,7.781198
1303.233000,583.200000,26.629390,7.807010
1305.633000,585.600000,26.676020,7.854698
1308.033000,588.000000,26.722650,7.902512
1310.433000,590.400000,26.769530,7.929252
1312.833000,592.800000,26.816160,7.996815
1315.233000,595.200000,26.863520,8.065489
1317.633000,597.600000,26.910640,8.093312
1320.033000,600.000000,26.958010,8.140890
1322.433000,602.400000,27.005370,8.188589
1324.833000,604.800000,27.052980,8.215645
1327.233000,607.200000,27.100340,8.242686
1329.633000,609.600000,27.147950,8.290608
1332.033000,612.000000,27.195550,8.317684
1334.433000,614.400000,27.243160,8.366656
1336.833000,616.800000,27.291010,8.393770
1339.233000,619.200000,27.338620,8.420869
1341.633000,621.600000,27.386470,8.469192
1344.033000,624.000000,27.434320,8.496327
1346.433000,626.400000,27.482170,8.524338
1348.833000,628.800000,27.530030,8.551445
1351.233000,631.200000,27.577880,8.599152
1353.633000,633.600000,27.625970,8.648772
1356.033000,636.000000,27.674070,8.654322
1358.433000,638.400000,27.721920,8.681436
1360.833000,640.800000,27.770020,8.753008
1363.233000,643.200000,27.818360,8.779320
1365.633000,645.600000,27.866450,8.784607
1368.033000,648.000000,27.914550,8.834631
1370.433000,650.400000,27.962890,8.883863
1372.833000,652.800000,28.011230,8.911094
1375.233000,655.200000,28.059570,8.938311
1377.633000,657.600000,28.107910,8.965513
1380.033000,660.000000,28.156250,9.015025
1382.433000,662.400000,28.204830,9.042267
1384.833000,664.800000,28.253170,9.069494
1387.233000,667.200000,28.301750,9.142698
1389.633000,669.600000,28.350580,9.170976
1392.033000,672.000000,28.399170,9.152037
1394.433000,674.400000,28.447510,9.155537
1396.833000,676.800000,28.495850,9.158883
1399.233000,679.200000,28.543940,9.185890
1401.633000,681.600000,28.592280,9.236770
1404.033000,684.000000,28.640620,9.240824
1406.433000,686.400000,28.688720,9.267794
1408.833000,688.800000,28.737060,9.317883
1411.233000,691.200000,28.785400,9.344894
1413.633000,693.600000,28.833740,9.371893
1416.033000,696.000000,28.882080,9.398878
1418.433000,698.400000,28.930420,9.449250
1420.833000,700.800000,28.979000,9.476277
1423.233000,703.200000,29.027340,9.503292
1425.633000,705.600000,29.075920,9.554877
1428.033000,708.000000,29.124510,9.558269
1430.433000,710.400000,29.172850,9.600417
1432.813000,712.780000,29.221190,9.671504
1435.203000,715.170000,29.269770,9.665219
1435.233000,715.200000,29.270260,8.830609
1435.243000,715.210000,29.270510,5.966767
1435.253000,715.220000,29.270510,5.728163
1435.263000,715.230000,29.270750,11.456459
1435.273000,715.240000,29.270990,11.695272
1435.283000,715.250000,29.271240,11.695408
1435.293000,715.260000,29.271480,11.695544
1435.303000,715.270000,29.271730,5.967184
1435.313000,715.280000,29.271730,5.728563
1435.323000,715.290000,29.271970,11.457260
1435.333000,715.300000,29.272210,11.696089
1435.343000,715.310000,29.272460,11.696225
1435.353000,715.320000,29.272700,11.696362
1435.363000,715.330000,29.272950,5.967601
1435.373000,715.340000,29.272950,5.728964
1435.383000,715.350000,29.273190,11.458061
1435.393000,715.360000,29.273430,11.696907
1435.403000,715.370000,29.273680,11.697043
1435.413000,715.380000,29.273920,11.697179
1435.423000,715.390000,29.274170,5.968018
1435.433000,715.400000,29.274170,5.729364
1435.443000,715.410000,29.274410,11.697588
1435.453000,715.420000,29.274660,11.697724
1435.463000,715.430000,29.274900,11.459128
1435.473000,715.440000,29.275140,11.697996
1435.483000,715.450000,29.275390,5.968435
1435.493000,715.460000,29.275390,5.729764
1435.503000,715.470000,29.275630,11.698405
1435.513000,715.480000,29.275880,11.698541
1435.523000,715.490000,29.276120,11.459929
1435.533000,715.500000,29.276360,11.698814
1435.543000,715.510000,29.276610,5.968852
1435.553000,715.520000,29.276610,5.730165
1435.563000,715.530000,29.276850,11.619704
1435.583000,715.550000,29.277340,11.699495
1435.603000,715.570000,29.277830,11.620109
1435.613000,715.580000,29.278070,7.799981
1435.633000,715.600000,29.278320,8.834827
1435.653000,715.620000,29.278810,11.620786
1435.663000,715.630000,29.279050,7.641243
1435.683000,715.650000,29.279290,8.715945
1435.703000,715.670000,29.279780,11.780661
1435.713000,715.680000,29.280030,11.621733
1435.733000,715.700000,29.280510,8.716452
1435.753000,715.720000,29.280760,7.801162
1435.763000,715.730000,29.281000,11.622410
1435.783000,715.750000,29.281490,8.836370
1435.803000,715.770000,29.281740,7.801616
1435.813000,715.780000,29.281980,11.623086
1435.833000,715.800000,29.282470,8.717467
